State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_x0020_Price,Max_x0020_Price,Modal_x0020_Price
"Andhra Pradesh",Guntur,Pidugurala(Palnadu),"Dry Chillies",Red,FAQ,06/11/2025,11500,15400,15100
"Andhra Pradesh","West Godavari",Chintalapudi,Lemon,Lemon,FAQ,06/11/2025,700,900,800
Gujarat,Amreli,Damnagar,"Bhindi(Ladies Finger)",Bhindi,FAQ,06/11/2025,1650,2550,2000
Gujarat,Bharuch,Bharuch,Cauliflower,Other,FAQ,06/11/2025,1500,2500,2000
Gujarat,Bharuch,Bharuch,"Green Chilli",Other,FAQ,06/11/2025,1200,2000,1500
Gujarat,Bharuch,Bharuch,Lemon,Other,FAQ,06/11/2025,2000,3000,2500
Gujarat,Bharuch,Jambusar,Cotton,Other,FAQ,06/11/2025,6300,6700,6500
Gujarat,Bharuch,Jambusar,Maize,Other,FAQ,06/11/2025,2000,2400,2200
Gujarat,Gandhinagar,"Mansa(Manas Veg Yard)",Methi(Leaves),Methi,FAQ,06/11/2025,2500,3000,3000
Gujarat,Gandhinagar,"Mansa(Manas Veg Yard)",Tomato,Other,FAQ,06/11/2025,1000,1000,1000
Gujarat,Rajkot,Dhoraji,Cotton,"H.B (Unginned)",Non-FAQ,06/11/2025,6255,7780,7105
Gujarat,Surat,Surat,"Elephant Yam (Suran)",Other,FAQ,06/11/2025,3500,4300,3900
Gujarat,Surat,Surat,Ginger(Green),Other,FAQ,06/11/2025,3000,5000,4000
Gujarat,Surat,Surat,"Little gourd (Kundru)",Other,FAQ,06/11/2025,5000,15000,10000
Gujarat,Surat,Surat,Onion,Other,FAQ,06/11/2025,650,2300,1475
Gujarat,Surat,Surat,"Papaya (Raw)",Other,FAQ,06/11/2025,600,1300,950
Gujarat,Surat,Surat,Pumpkin,Other,FAQ,06/11/2025,1100,2900,2000
Gujarat,Surat,Surat,"Rat Tail Radish (Mogari)",Other,FAQ,06/11/2025,7000,8500,7750
Gujarat,Surat,Surat,Tomato,Other,FAQ,06/11/2025,700,2800,1750
Haryana,Gurgaon,Gurgaon,Cabbage,Other,FAQ,06/11/2025,1000,2000,1500
Haryana,Gurgaon,Gurgaon,Carrot,Other,FAQ,06/11/2025,1500,2500,2000
Haryana,Gurgaon,Pataudi,Pomegranate,Other,Medium,06/11/2025,11000,12000,11500
Haryana,Gurgaon,Pataudi,Tomato,Other,Non-FAQ,06/11/2025,2500,3000,2800
Haryana,Hissar,Barwala(Hisar),Ginger(Green),Other,FAQ,06/11/2025,7000,8000,7500
Haryana,Hissar,Barwala(Hisar),Guava,Other,Medium,06/11/2025,2500,3000,2800
Haryana,Hissar,Barwala(Hisar),Onion,Other,FAQ,06/11/2025,1400,1800,1700
Haryana,Hissar,Barwala(Hisar),Potato,Other,FAQ,06/11/2025,1200,1400,1300
Haryana,Hissar,Uklana,Raddish,Raddish,FAQ,06/11/2025,700,800,800
Haryana,Kurukshetra,Pehowa,Potato,Other,FAQ,06/11/2025,1500,1650,1600
